snapped_at,price,market_cap,total_volume
2020-04-11 00:00:00 UTC,0.9576,7827651.8900,92672667.4300
2020-04-12 00:00:00 UTC,0.7847,6173607.6800,49458692.8800
2020-04-13 00:00:00 UTC,0.8760,7269680.4500,37821009.9600
2020-04-14 00:00:00 UTC,0.7867,6302364.1500,19579214.8900
2020-04-15 00:00:00 UTC,0.6667,5306221.0700,17523533.0500
2020-04-16 00:00:00 UTC,0.6376,5114653.9300,12659541.4100
2020-04-17 00:00:00 UTC,0.6923,5505929.4900,23132895.9100
2020-04-18 00:00:00 UTC,0.6574,5348323.9800,10227034.7500
2020-04-19 00:00:00 UTC,0.6770,5423066.2900,10199318.1600
2020-04-20 00:00:00 UTC,0.6094,4844617.2100,9789186.7300
2020-04-21 00:00:00 UTC,0.5348,4285479.1500,8763891.0300
2020-04-22 00:00:00 UTC,0.5728,4591546.7600,9610841.9900
2020-04-23 00:00:00 UTC,0.6849,5446538.1700,18146790.1400
2020-04-24 00:00:00 UTC,0.6217,4909587.0000,13659849.4900
2020-04-25 00:00:00 UTC,0.6228,5027193.6200,8959427.1400
2020-04-26 00:00:00 UTC,0.6471,5173619.2300,7324961.2700
2020-04-27 00:00:00 UTC,0.6399,5137791.3300,8493459.0500
2020-04-28 00:00:00 UTC,0.5683,4616001.3800,7534010.5200
2020-04-29 00:00:00 UTC,0.6574,5283691.3500,7387289.0300
2020-04-30 00:00:00 UTC,0.7412,5897415.5400,8964597.2700
2020-05-01 00:00:00 UTC,0.6931,5635423.5100,5182978.5400
2020-05-02 00:00:00 UTC,0.7170,5735879.9000,4174109.6400
2020-05-03 00:00:00 UTC,0.7124,5669404.1700,3457574.5600
2020-05-04 00:00:00 UTC,0.6866,5486412.3900,3375393.7300
2020-05-05 00:00:00 UTC,0.6728,5354861.5800,3467483.2600
2020-05-06 00:00:00 UTC,0.6503,5195811.6300,2903980.8600
2020-05-07 00:00:00 UTC,0.6194,5010066.0500,2715223.2900
2020-05-08 00:00:00 UTC,0.6089,4874818.7200,3385522.0200
2020-05-09 00:00:00 UTC,0.6089,4827334.9100,2493703.5600
2020-05-10 00:00:00 UTC,0.6018,4816707.9100,2126230.1500
2020-05-11 00:00:00 UTC,0.5418,4324416.9500,2370841.7200
2020-05-12 00:00:00 UTC,0.5139,4171226.3000,2113480.5300
2020-05-13 00:00:00 UTC,0.5333,4266741.2300,2182277.4100
2020-05-14 00:00:00 UTC,0.5533,4413742.9000,2337721.3800
2020-05-15 00:00:00 UTC,0.5743,4570789.9200,548910.1100
2020-05-16 00:00:00 UTC,0.5564,4432087.5100,1837728.9100
2020-05-17 00:00:00 UTC,0.5990,4752035.3900,2286736.2700
2020-05-18 00:00:00 UTC,0.6159,4898008.3600,2950437.8200
2020-05-19 00:00:00 UTC,0.6477,5213969.6300,3280891.0000
2020-05-20 00:00:00 UTC,0.6219,4996233.2000,2375972.6100
2020-05-21 00:00:00 UTC,0.5796,4629608.8300,2306268.6600
2020-05-22 00:00:00 UTC,0.6056,4853042.5900,2791803.4100
2020-05-23 00:00:00 UTC,0.6150,4919865.8100,3449950.8700
2020-05-24 00:00:00 UTC,0.6082,4866957.6200,2624526.4600
2020-05-25 00:00:00 UTC,0.5466,4374843.1600,2831384.6200
2020-05-26 00:00:00 UTC,0.6022,4809730.1800,4453912.3600
2020-05-27 00:00:00 UTC,0.5731,4598505.3500,2703457.5800
2020-05-28 00:00:00 UTC,0.5884,4715158.0900,2545885.0900
2020-05-29 00:00:00 UTC,0.5722,9366383.7800,2654599.5000
2020-05-30 00:00:00 UTC,0.5774,9427078.2700,2051249.6500
2020-05-31 00:00:00 UTC,0.5858,9591470.3400,2439529.3300
2020-06-01 00:00:00 UTC,0.5757,9399234.9500,1936502.3600
2020-06-02 00:00:00 UTC,0.5790,9424972.5900,2232352.3500
2020-06-03 00:00:00 UTC,0.5658,9310563.1100,1384105.1500
2020-06-04 00:00:00 UTC,0.5862,9614805.9500,888236.6600
2020-06-05 00:00:00 UTC,0.5868,9543805.2600,863889.7800
2020-06-06 00:00:00 UTC,0.6570,10747702.9600,4253926.3700
2020-06-07 00:00:00 UTC,0.6254,10180036.8400,1644975.9500
2020-06-08 00:00:00 UTC,0.6194,10138083.7900,778127.9300
2020-06-09 00:00:00 UTC,0.6677,10913789.3900,1450401.0500
2020-06-10 00:00:00 UTC,0.6554,10726797.0900,934660.1500
2020-06-11 00:00:00 UTC,0.6504,10648020.6500,1145633.2900
2020-06-12 00:00:00 UTC,0.5720,9341515.4100,1164520.2100
2020-06-13 00:00:00 UTC,0.5934,9722321.6000,962192.2000
2020-06-14 00:00:00 UTC,0.6088,9955797.6000,753788.2600
2020-06-15 00:00:00 UTC,0.5862,9583560.1300,915552.3300
2020-06-16 00:00:00 UTC,0.5703,9320494.0000,1052111.2600
2020-06-17 00:00:00 UTC,0.5851,9519846.3900,679085.2200
2020-06-18 00:00:00 UTC,0.5818,9549958.3500,704810.1900
2020-06-19 00:00:00 UTC,0.6200,10224928.4400,1372641.0200
2020-06-20 00:00:00 UTC,0.6861,11247343.8900,7055205.2100
