macd_threshold,rsi_buy_range,rsi_sell_range,bb_multiplier_buy,bb_multiplier_sell,final_balance,profit,trade_log
0.0,"(20, 50)","(55, 75)",1.1,0.9,1945.9727123872296,945.9727123872296,"[{'action': 'buy', 'price': 20.5654, 'amount': 48.5889193537904, 'usdc_balance': 0.0, 'sol_balance': 48.5889193537904}, {'action': 'sell', 'price': 23.3748, 'amount': 48.5889193537904, 'usdc_balance': 1134.9470457671007, 'sol_balance': 0}, {'action': 'buy', 'price': 20.5737, 'amount': 55.12360311524139, 'usdc_balance': 0.0, 'sol_balance': 55.12360311524139}, {'action': 'sell', 'price': 24.3846, 'amount': 55.12360311524139, 'usdc_balance': 1343.2092935274916, 'sol_balance': 0}, {'action': 'buy', 'price': 19.8879, 'amount': 67.4884045850156, 'usdc_balance': 0.0, 'sol_balance': 67.4884045850156}, {'action': 'sell', 'price': 23.9814, 'amount': 67.4884045850156, 'usdc_balance': 1617.3132683867711, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 11.339787760619172, 'usdc_balance': 0.0, 'sol_balance': 11.339787760619172}, {'action': 'sell', 'price': 171.7281, 'amount': 11.339787760619172, 'usdc_balance': 1945.9727123872296, 'sol_balance': 0}]"
-0.1,"(20, 50)","(55, 75)",1.1,0.95,1852.7041059645107,852.7041059645107,"[{'action': 'buy', 'price': 20.5737, 'amount': 48.56931723892354, 'usdc_balance': 0.0, 'sol_balance': 48.56931723892354}, {'action': 'sell', 'price': 24.6189, 'amount': 48.56931723892354, 'usdc_balance': 1194.871211418861, 'sol_balance': 0}, {'action': 'buy', 'price': 18.8031, 'amount': 63.49887676083438, 'usdc_balance': 0.0, 'sol_balance': 63.49887676083438}, {'action': 'sell', 'price': 23.9814, 'amount': 63.49887676083438, 'usdc_balance': 1521.7069738785276, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.669444476176729, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 10.669444476176729}, {'action': 'sell', 'price': 173.7696, 'amount': 10.669444476176729, 'usdc_balance': 1852.7041059645107, 'sol_balance': 0}]"
-0.1,"(20, 50)","(50, 80)",1.1,0.95,1852.7041059645107,852.7041059645107,"[{'action': 'buy', 'price': 20.5737, 'amount': 48.56931723892354, 'usdc_balance': 0.0, 'sol_balance': 48.56931723892354}, {'action': 'sell', 'price': 24.6189, 'amount': 48.56931723892354, 'usdc_balance': 1194.871211418861, 'sol_balance': 0}, {'action': 'buy', 'price': 18.8031, 'amount': 63.49887676083438, 'usdc_balance': 0.0, 'sol_balance': 63.49887676083438}, {'action': 'sell', 'price': 23.9814, 'amount': 63.49887676083438, 'usdc_balance': 1521.7069738785276, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.669444476176729, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 10.669444476176729}, {'action': 'sell', 'price': 173.7696, 'amount': 10.669444476176729, 'usdc_balance': 1852.7041059645107, 'sol_balance': 0}]"
0.1,"(20, 50)","(55, 75)",1.1,0.9,1832.8370241181776,832.8370241181776,"[{'action': 'buy', 'price': 20.5744, 'amount': 48.567664771679425, 'usdc_balance': -1.1368683772161603e-13, 'sol_balance': 48.567664771679425}, {'action': 'sell', 'price': 23.3748, 'amount': 48.567664771679425, 'usdc_balance': 1134.4505781465673, 'sol_balance': 0}, {'action': 'buy', 'price': 22.0075, 'amount': 51.50972976772327, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 51.50972976772327}, {'action': 'sell', 'price': 24.3846, 'amount': 51.50972976772327, 'usdc_balance': 1255.1492250325227, 'sol_balance': 0}, {'action': 'buy', 'price': 19.7312, 'amount': 63.56473851595788, 'usdc_balance': 0.0, 'sol_balance': 63.56473851595788}, {'action': 'sell', 'price': 23.9814, 'amount': 63.56473851595788, 'usdc_balance': 1523.2853056096667, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.680510944990665, 'usdc_balance': 0.0, 'sol_balance': 10.680510944990665}, {'action': 'sell', 'price': 171.7281, 'amount': 10.680510944990665, 'usdc_balance': 1832.8370241181776, 'sol_balance': 0}]"
-0.1,"(20, 50)","(55, 75)",1.1,0.93,1813.512774554071,813.512774554071,"[{'action': 'buy', 'price': 20.5737, 'amount': 48.56931723892354, 'usdc_balance': 0.0, 'sol_balance': 48.56931723892354}, {'action': 'sell', 'price': 24.3846, 'amount': 48.56931723892354, 'usdc_balance': 1183.4995284908896, 'sol_balance': 0}, {'action': 'buy', 'price': 18.8031, 'amount': 62.89455297605669, 'usdc_balance': 0.0, 'sol_balance': 62.89455297605669}, {'action': 'sell', 'price': 23.9814, 'amount': 62.89455297605669, 'usdc_balance': 1507.2247693941786, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.567902537228676, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 10.567902537228676}, {'action': 'sell', 'price': 171.7281, 'amount': 10.567902537228676, 'usdc_balance': 1813.512774554071, 'sol_balance': 0}]"
-0.1,"(20, 50)","(55, 75)",1.1,0.9,1813.512774554071,813.512774554071,"[{'action': 'buy', 'price': 20.5737, 'amount': 48.56931723892354, 'usdc_balance': 0.0, 'sol_balance': 48.56931723892354}, {'action': 'sell', 'price': 24.3846, 'amount': 48.56931723892354, 'usdc_balance': 1183.4995284908896, 'sol_balance': 0}, {'action': 'buy', 'price': 18.8031, 'amount': 62.89455297605669, 'usdc_balance': 0.0, 'sol_balance': 62.89455297605669}, {'action': 'sell', 'price': 23.9814, 'amount': 62.89455297605669, 'usdc_balance': 1507.2247693941786, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.567902537228676, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 10.567902537228676}, {'action': 'sell', 'price': 171.7281, 'amount': 10.567902537228676, 'usdc_balance': 1813.512774554071, 'sol_balance': 0}]"
-0.1,"(20, 50)","(50, 80)",1.1,0.93,1800.0664555806466,800.0664555806466,"[{'action': 'buy', 'price': 20.5737, 'amount': 48.56931723892354, 'usdc_balance': 0.0, 'sol_balance': 48.56931723892354}, {'action': 'sell', 'price': 24.2038, 'amount': 48.56931723892354, 'usdc_balance': 1174.7244526335392, 'sol_balance': 0}, {'action': 'buy', 'price': 18.8031, 'amount': 62.42822032438019, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 62.42822032438019}, {'action': 'sell', 'price': 23.9814, 'amount': 62.42822032438019, 'usdc_balance': 1496.049427649534, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.489546657750198, 'usdc_balance': 0.0, 'sol_balance': 10.489546657750198}, {'action': 'sell', 'price': 171.7281, 'amount': 10.489546657750198, 'usdc_balance': 1800.0664555806466, 'sol_balance': 0}]"
0.0,"(20, 50)","(50, 80)",1.1,0.95,1775.4271295192411,775.4271295192411,"[{'action': 'buy', 'price': 20.5654, 'amount': 48.5889193537904, 'usdc_balance': 0.0, 'sol_balance': 48.5889193537904}, {'action': 'sell', 'price': 20.8751, 'amount': 48.5889193537904, 'usdc_balance': 1013.5758626851483, 'sol_balance': 0}, {'action': 'buy', 'price': 20.5737, 'amount': 49.22868762047057, 'usdc_balance': -1.1368683772161603e-13, 'sol_balance': 49.22868762047057}, {'action': 'sell', 'price': 24.6189, 'amount': 49.22868762047057, 'usdc_balance': 1211.0926189115203, 'sol_balance': 0}, {'action': 'buy', 'price': 19.8879, 'amount': 60.8503150245319, 'usdc_balance': 0.0, 'sol_balance': 60.8503150245319}, {'action': 'sell', 'price': 23.9814, 'amount': 60.8503150245319, 'usdc_balance': 1458.2360107611898, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.224417983918597, 'usdc_balance': 0.0, 'sol_balance': 10.224417983918597}, {'action': 'sell', 'price': 173.7696, 'amount': 10.224417983918597, 'usdc_balance': 1775.4271295192411, 'sol_balance': 0}]"
0.1,"(20, 50)","(55, 75)",1.1,0.95,1765.4980606673853,765.4980606673853,"[{'action': 'buy', 'price': 20.5744, 'amount': 48.567664771679425, 'usdc_balance': -1.1368683772161603e-13, 'sol_balance': 48.567664771679425}, {'action': 'sell', 'price': 24.6189, 'amount': 48.567664771679425, 'usdc_balance': 1194.8305584788973, 'sol_balance': 0}, {'action': 'buy', 'price': 19.7312, 'amount': 60.51000989035314, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 60.51000989035314}, {'action': 'sell', 'price': 23.9814, 'amount': 60.51000989035314, 'usdc_balance': 1450.0808319242956, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.167237968786143, 'usdc_balance': 0.0, 'sol_balance': 10.167237968786143}, {'action': 'sell', 'price': 173.7696, 'amount': 10.167237968786143, 'usdc_balance': 1765.4980606673853, 'sol_balance': 0}]"
0.0,"(20, 50)","(55, 75)",1.1,0.95,1752.3539583222669,752.3539583222669,"[{'action': 'buy', 'price': 20.5654, 'amount': 48.5889193537904, 'usdc_balance': 0.0, 'sol_balance': 48.5889193537904}, {'action': 'sell', 'price': 24.6189, 'amount': 48.5889193537904, 'usdc_balance': 1195.3534500845217, 'sol_balance': 0}, {'action': 'buy', 'price': 19.8879, 'amount': 60.05951391948683, 'usdc_balance': 0.0, 'sol_balance': 60.05951391948683}, {'action': 'sell', 'price': 23.9814, 'amount': 60.05951391948683, 'usdc_balance': 1439.2850053594666, 'sol_balance': 0}, {'action': 'buy', 'price': 142.516, 'amount': 10.091543059000529, 'usdc_balance': -2.2737367544323206e-13, 'sol_balance': 10.091543059000529}, {'action': 'sell', 'price': 173.7696, 'amount': 10.091543059000529, 'usdc_balance': 1752.3539583222669, 'sol_balance': 0}]"
